ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.68961E+11,7.95458E+17,3865756534,TWEET FROM: mccain1542,MCCAIN1542,'@blackmattersus I  This state is so deeply rooted in Racism and White Supremacy.. I have no doubt Dylon will have a white jury..',http://twitter.com/3865756534/statuses/795457966661111808,TWITTER,United States,English,No,11/7/2016 2:48,11/7/2016 2:50,Negative,0,0,0,0,0,0,0,39,18,83,
5.68953E+11,7.95451E+17,3290180960,TWEET FROM: KumaNerd,KUMANERD,A terrifying  video shows a Black man being brutalized by a k9 after an officer mistook him for an armed man.  https://t.co/Ul6S5a44Nd,http://twitter.com/3290180960/statuses/795450825560784896,TWITTER,Unknown,English,No,11/7/2016 2:20,11/7/2016 2:20,Negative,0,0,0,0,0,0,0,828,261,6124,RETWEET
5.68952E+11,7.9545E+17,2930175764,TWEET FROM: TrojanNinja85,TROJANNINJA85,"Hip hop recording artist, Meek Mill criticized celebs who say ‘All Lives Matter.’ https://t.co/brDDQsQVdN",http://twitter.com/2930175764/statuses/795450276291321856,TWITTER,Unknown,English,No,11/7/2016 2:18,11/7/2016 2:18,Negative,0,0,0,0,0,0,0,781,429,78096,RETWEET
5.68952E+11,7.9545E+17,7.49688E+17,TWEET FROM: Derek_RedDeer,DEREK_REDDEER,"Hip hop recording artist, Meek Mill criticized celebs who say ‘All Lives Matter.’ https://t.co/brDDQsQVdN",http://twitter.com/749688312105807872/statuses/795450210180734976,TWITTER,Canada,English,No,11/7/2016 2:18,11/7/2016 2:18,Negative,0,0,0,0,0,0,0,1009,1005,10778,RETWEET
5.68951E+11,7.95449E+17,143818729,TWEET FROM: uknowgoodlookin,UKNOWGOODLOOKIN,"1.#MichelleShirley got shot by the police while having mental health crises She was bipolar.They shot her, then lied in the report about it. https://t.co/yTwdPTbTpi",http://twitter.com/143818729/statuses/795449213987549184,TWITTER,United States,English,No,11/7/2016 2:14,11/7/2016 2:14,Negative,0,0,0,0,0,0,0,602,552,5583,RETWEET
5.68949E+11,7.95447E+17,2482221519,TWEET FROM: kleinmeisjee__x,KLEINMEISJEE__X,Charleston Church Shooter Trial Begins On Monday https://t.co/NsTdXcZPZy @BlackMattersUS https://t.co/raBIyia3Rf,http://twitter.com/2482221519/statuses/795447415746785281,TWITTER,United States,English,No,11/7/2016 2:06,11/7/2016 2:07,Neutral,0,0,0,0,0,0,0,1069,15,301,RETWEET
5.68948E+11,7.95447E+17,615828152,TWEET FROM: classilbossladi,CLASSILBOSSLADI,Charleston Church Shooter Trial Begins On Monday https://t.co/NsTdXcZPZy @BlackMattersUS https://t.co/raBIyia3Rf,http://twitter.com/615828152/statuses/795446687716274177,TWITTER,United States,English,No,11/7/2016 2:04,11/7/2016 2:04,Neutral,0,0,0,0,0,0,0,2174,49,434,RETWEET
5.68947E+11,7.95446E+17,7.02695E+17,TWEET FROM: CharlestonTpNws,CHARLESTONTPNWS,Charleston Church Shooter Trial Begins On Monday https://t.co/4A776ZQv8b via @blackmattersus,http://twitter.com/702695042260070400/statuses/795446094436048896,TWITTER,Unknown,English,No,11/7/2016 2:01,11/7/2016 2:01,Neutral,0,0,0,0,0,0,0,4901,530,3396,
5.68947E+11,7.95445E+17,148905308,TWEET FROM: gatta1000,GATTA1000,Charleston Church Shooter Trial Begins On Monday https://t.co/NsTdXcZPZy @BlackMattersUS https://t.co/raBIyia3Rf,http://twitter.com/148905308/statuses/795445110792192000,TWITTER,United States,English,No,11/7/2016 1:57,11/7/2016 2:00,Neutral,0,0,0,0,0,0,0,2769,1194,150190,RETWEET
5.68946E+11,7.95445E+17,7.02553E+17,TWEET FROM: mikehoitiou,MIKEHOITIOU,'@blackmattersus good he should be tortured to death',http://twitter.com/702553385996828672/statuses/795445189829652480,TWITTER,Unknown,English,No,11/7/2016 1:58,11/7/2016 1:58,Negative,0,0,0,0,0,0,0,94,84,7198,
5.68946E+11,7.95445E+17,1536679616,TWEET FROM: Nshc13,NSHC13,Charleston Church Shooter Trial Begins On Monday https://t.co/NsTdXcZPZy @BlackMattersUS https://t.co/raBIyia3Rf,http://twitter.com/1536679616/statuses/795445035814756353,TWITTER,United States,English,No,11/7/2016 1:57,11/7/2016 1:57,Neutral,0,0,0,0,0,0,0,7807,27122,6058,RETWEET
5.68946E+11,7.95445E+17,3034626213,TWEET FROM: blicqer,BLICQER,Charleston Church Shooter Trial Begins On Monday https://t.co/NsTdXcZPZy @BlackMattersUS https://t.co/raBIyia3Rf,http://twitter.com/3034626213/statuses/795444712341573632,TWITTER,United States,English,No,11/7/2016 1:56,11/7/2016 1:56,Neutral,0,0,0,0,0,0,0,56766,75110,131843,
5.68942E+11,7.95442E+17,4473471443,TWEET FROM: Lglwry,LGLWRY,"The Charleston church shooter, Dylann Roof could face the death penalty, as trial is set to begin.  https://t.co/DfxWuE5Zp9",http://twitter.com/4473471443/statuses/795441510678429697,TWITTER,United States,English,No,11/7/2016 1:43,11/7/2016 1:43,Negative,0,0,0,0,0,0,0,1171,3483,193659,RETWEET
5.68942E+11,7.95441E+17,2471421697,TWEET FROM: Jim_B60,JIM_B60,".@blicqer @Jim_B60 @blackmattersus It's almost as though the ~8 year race-baiting media plan has worked exactly as planned. Thanks, Barry.",http://twitter.com/2471421697/statuses/795440932187504645,TWITTER,United States,English,No,11/7/2016 1:41,11/7/2016 1:41,Neutral,0,0,0,0,0,0,0,4958,4681,206508,RETWEET
